team,player,colorway,size,quantity
Portland Trail Blazers,Damian Lillard,Black,L,1
Portland Trail Blazers,Damian Lillard,Black,M,0
Portland Trail Blazers,Damian Lillard,Black,S,1
Portland Trail Blazers,Damian Lillard,Black,XL,0
Portland Trail Blazers,Damian Lillard,Black,XXL,0
Portland Trail Blazers,Damian Lillard,Red,L,0
Portland Trail Blazers,Damian Lillard,Red,M,1
Portland Trail Blazers,Damian Lillard,Red,S,1
Portland Trail Blazers,Damian Lillard,Red,XL,0
Portland Trail Blazers,Damian Lillard,Red,XXL,0
Portland Trail Blazers,Damian Lillard,White Nike,L,0
Portland Trail Blazers,Damian Lillard,White Nike,M,0
Portland Trail Blazers,Damian Lillard,White Nike,S,1
Portland Trail Blazers,Damian Lillard,White Nike,XL,0
Portland Trail Blazers,Damian Lillard,White Nike,XXL,0
Portland Trail Blazers,Terry Porter,Black Retro,L,0
Portland Trail Blazers,Terry Porter,Black Retro,M,1
Portland Trail Blazers,Terry Porter,Black Retro,S,0
Portland Trail Blazers,Terry Porter,Black Retro,XL,0
Portland Trail Blazers,Terry Porter,Black Retro,XXL,0
San Antonio Spurs,Tim Duncan,White,L,1
San Antonio Spurs,Tim Duncan,White,M,0
San Antonio Spurs,Tim Duncan,White,S,0
San Antonio Spurs,Tim Duncan,White,XL,0
San Antonio Spurs,Tim Duncan,White,XXL,0
San Antonio Spurs,Tim Duncan,Camou,L,0
San Antonio Spurs,Tim Duncan,Camou,M,0
San Antonio Spurs,Tim Duncan,Camou,S,0
San Antonio Spurs,Tim Duncan,Camou,XL,1
San Antonio Spurs,Tim Duncan,Camou,XXL,0
San Antonio Spurs,Kawhi Leonard,Black,L,0
San Antonio Spurs,Kawhi Leonard,Black,M,1
San Antonio Spurs,Kawhi Leonard,Black,S,3
San Antonio Spurs,Kawhi Leonard,Black,XL,0
San Antonio Spurs,Kawhi Leonard,Black,XXL,0
San Antonio Spurs,Kawhi Leonard,Grey,L,0
San Antonio Spurs,Kawhi Leonard,Grey,M,1
San Antonio Spurs,Kawhi Leonard,Grey,S,1
San Antonio Spurs,Kawhi Leonard,Grey,XL,0
San Antonio Spurs,Kawhi Leonard,Grey,XXL,0
San Antonio Spurs,Kawhi Leonard,White,L,0
San Antonio Spurs,Kawhi Leonard,White,M,4
San Antonio Spurs,Kawhi Leonard,White,S,1
San Antonio Spurs,Kawhi Leonard,White,XL,0
San Antonio Spurs,Kawhi Leonard,White,XXL,0
San Antonio Spurs,Kawhi Leonard,Black Logo,L,0
San Antonio Spurs,Kawhi Leonard,Black Logo,M,1
San Antonio Spurs,Kawhi Leonard,Black Logo,S,0
San Antonio Spurs,Kawhi Leonard,Black Logo,XL,0
San Antonio Spurs,Kawhi Leonard,Black Logo,XXL,0
San Antonio Spurs,Kawhi Leonard,Camou,L,0
San Antonio Spurs,Kawhi Leonard,Camou,M,1
San Antonio Spurs,Kawhi Leonard,Camou,S,1
San Antonio Spurs,Kawhi Leonard,Camou,XL,0
San Antonio Spurs,Kawhi Leonard,Camou,XXL,0
San Antonio Spurs,Kawhi Leonard,Xmas Black,L,0
San Antonio Spurs,Kawhi Leonard,Xmas Black,M,1
San Antonio Spurs,Kawhi Leonard,Xmas Black,S,1
